model_name,parameter_count_b,numa_nodes,physical_cores,logical_cores,thread_count,cpu_affinity,sm_enabled,benchmark_type,oversubscribed,input_tokens_target,input_tokens_actual,max_output_tokens,context_window,batch_size,load_time_s,file_size_gb,ttft_ms,percentile_ttft_p50,percentile_ttft_p95,decode_rate_tps,percentile_tps_p50,percentile_tps_p95,effective_throughput_tps,parallel_efficiency,per_token_latency_ms,total_runtime_s,static_ram_gb,peak_ram_gb,kv_cache_growth_mb_per_1k,avg_cpu_util_percent,avg_saturated_cores,timeout_s,status,tps_per_billion_params,ram_per_billion_params,ttft_ms_per_billion_params,cies_score
TinyLlama (15M),0.015,1,2,4,1,[0],True,decode,False,short,31,256,4096,1,0.07,0.01,13.69,13.69,13.97,76.12,76.02,76.11,76.02,1.0,13.15,3.39,0.05,0.06,43.12,25.04,1.0,120,success,5068.0,4.0,912.67,84576.2254
TinyLlama (15M),0.015,1,2,4,1,[0],True,decode,False,short,31,1024,4096,1,0.07,0.01,13.68,13.68,14.08,69.64,69.66,69.69,69.66,1.0,14.36,14.69,0.05,0.09,43.12,25.05,1.0,300,success,4644.0,6.0,912.0,51582.2111
TinyLlama (15M),0.015,1,2,4,1,[0],True,decode,False,short,31,2048,4096,1,0.07,0.01,13.93,13.93,14.24,62.99,62.99,63.26,62.99,1.0,15.88,32.43,0.05,0.14,43.12,25.05,1.0,600,success,4199.3333,9.3333,928.67,29996.8797
TinyLlama (15M),0.015,1,2,4,1,[0],True,prefill,False,256,310,128,4096,1,0.07,0.01,14.98,14.98,15.28,,70.57,70.69,70.57,1.0,14.17,1.74,0.05,0.07,43.12,25.03,1.0,120,success,4704.6667,4.6667,998.67,
TinyLlama (15M),0.015,1,2,4,1,[0],True,prefill,False,1024,1234,128,4096,1,0.07,0.01,17.73,17.73,18.29,,67.96,68.27,67.96,1.0,14.71,1.91,0.05,0.11,43.12,25.03,1.0,300,success,4530.6667,7.3333,1182.0,
TinyLlama (15M),0.015,1,2,4,1,[0],True,prefill,False,2048,2458,128,4096,1,0.07,0.01,21.64,21.64,21.74,,60.59,60.93,60.59,1.0,16.5,2.13,0.05,0.16,43.12,25.05,1.0,600,success,4039.3333,10.6667,1442.67,
TinyLlama (15M),0.015,1,2,4,2,"[0, 1]",True,decode,False,short,31,256,4096,1,0.07,0.01,10.62,10.62,10.74,94.51,94.36,95.61,94.36,0.62,10.6,2.73,0.05,0.06,43.12,46.04,0.47,120,success,6290.6667,4.0,708.0,105007.5957
TinyLlama (15M),0.015,1,2,4,2,"[0, 1]",True,decode,False,short,31,1024,4096,1,0.07,0.01,10.72,10.72,10.8,85.1,85.13,85.41,85.13,0.61,11.75,12.02,0.05,0.09,43.12,45.09,0.25,300,success,5675.3333,6.0,714.67,63037.6706
TinyLlama (15M),0.015,1,2,4,2,"[0, 1]",True,decode,False,short,31,2048,4096,1,0.07,0.01,10.76,10.76,10.91,76.57,76.57,77.03,76.57,0.61,13.06,26.68,0.05,0.14,43.12,44.24,0.13,600,success,5104.6667,9.3333,717.33,36460.7673
TinyLlama (15M),0.015,1,2,4,2,"[0, 1]",True,prefill,False,256,310,128,4096,1,0.07,0.01,11.98,11.98,11.99,,88.72,88.89,88.72,0.63,11.27,1.39,0.05,0.07,43.12,45.98,0.5,120,success,5914.6667,4.6667,798.67,
